slug,title,career_code,education,sponsor,career_grades,type_works,posts,tasks_count
全媒体运营师,全媒体运营师,4-13-01-05,大学专科学历（或高等职业学校毕业）,杭报集团,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"新媒体运营,短视频运营,内容运营,网络营销专员,数字营销运营,品牌运营专员,社群运营,私域流量运营,直播策划,信息流优化师,用户运营专员,活动运营策划,电商内容策划,MCN机构运营,政务新媒体运营",5
公路养护工,公路养护工,6-29-02-04,初中毕业（或相当文化程度）,江苏省交通技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","道路巡视养护工,桥梁巡视养护工,隧道巡视养护工","公路养护工,道路养护工,路基路面养护工程师,桥梁养护工程师,隧道养护工程师,交通安全设施养护工程师",4
公路收费及监控员,公路收费及监控员,4-02-02-06,初中毕业（或相当文化程度）,山东高速,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",车辆通行费收费员,"公路收费员,公路监控员",5
养老护理员,养老护理员,4-10-01-05,初中毕业（或相当文化程度）,西部人力,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",失智老年人照护员,"养老护理员,老年生活助理,老年照护师,老年护理员,养老护理师,养老照护师",5
农产品食品检验员,农产品食品检验员,4-08-05-01,初中毕业（或相当文化程度）,天津现代职业技术学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","农产品质量安全检测员,食品检验员,粮油质量检验员","食品检验员,农产品质量安全检测员,粮油质量检验员,食品微生物检验员,食品理化检测员,三方机构农产食品检测技术人员,食品企业质量管理人员,农产品食品抽样员,政府食品安全监督人员,检验检测技术主管,食品认证审核人员",12
农作物植保员,农作物植保员,5-05-02-01,初中毕业（或相当文化程度）,潍坊市潍城区青欣职业培训学校,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","病虫害防治工,植物检疫工","农田植保技术员,农作物病虫疫情监测员,农业技术推广专员,植保技术服务机构工程师,生物防治技术员,有机农业植保管理员",6
农艺工,农艺工,5-01-02-01,初中毕业（或相当文化程度）,黑龙江农业经济职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","粮食作物栽培工,糖料作物栽培工,棉花栽培工,油料作物栽培工,麻料作物栽培工,烟类作物栽培工,啤酒花栽培工,牧草栽培工","植保农艺师,农业技术人员,农艺助理师,农业种植技术员,农业技术推广员,种苗成产经理,特聘农技员",8
制冷空调系统安装维修工,制冷空调系统安装维修工,6-29-03-05,初中毕业（或相当文化程度）,广西二轻技师学院,"四级/中级工,三级/高级工,二级/技师,一级/高级技师,五级/初级工","制冷空调系统安装调试工,制冷空调设备维修工,制冷剂回收再利用工","制冷空调安装工程师,制冷空调维保工程师,制冷空调维修工程师",8
制图员,制图员,3-01-02-07,初中毕业（或相当文化程度）,象山港高级技工学校,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"机械设计工程师   ,机械制图员",4
动物检疫检验员,动物检疫检验员,5-05-02-04,高中毕业（或同等学力）,长治职业技术学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"动物检疫员,兽医化验员,动物实验员,驻场检疫员",7
动物疫病防治员,动物疫病防治员,5-05-02-03,初中毕业（或相当文化程度）,黑龙江农业经济职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","中兽医员,兽医化验员","基层兽医站动物疫病防治员,大型养殖企业动物疫病防治员,动物疾病控制中心实验室检测员,公共卫生防疫部门实验室检测员,兽药生产及销售企业技术服务人员",9
动画制作员,动画制作员,4-13-02-02,初中毕业（或相当文化程度）,东唐影视,"四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"3D动态设计师,角色动画师,3D建模师,动画制作后期包装师",3
化工总控工,化工总控工,6-11-01-03,高中毕业（或同等学力）,东营市技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"DCS 操作员 / 中控室操作员,中控室主控运维岗,化工设备维护技术员,化工工艺工程师",7
医疗护理员,医疗护理员,4-14-01-02,初中毕业（或相当文化程度）,广西卫生职业技术学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",护工,"医疗护理员,临床护理员,病患护理员,康复护理员,老年护理员,护工,生活护理员,医养结合护理员,长期照护专员,家庭护理员",4
医药商品购销员,医药商品购销员,4-01-05-02,高中毕业（或同等学力）,江苏省医药商业协会,"五级/初级工,四级/中级工,三级/高级工",,"药品采购专员,医药商务经理,医药客户经理,药店营业员 / 店长,医药 BD（商务拓展）,医药采购经理,医药供应链专员",9
变电设备检修工,变电设备检修工,6-31-01-08,高中毕业（或同等学力）,四川能投,"四级/中级工,三级/高级工,二级/技师,一级/高级技师","开关设备检修工,变压器设备检修工,变电带电检修工","变电检修工程师,电气检修技术员,变电运维检修专员,变电一次/二次检修工,开关设备检修工,变压器设备检修工,变电带电检修工",8
口腔修复体制作师,口腔修复体制作师,4-14-03-02,初中毕业（或相当文化程度）,烟台文化旅游职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"种植义齿修复技师,活动义齿修复技师,数字化义齿设计技师,义齿瓷修复技师,美学蜡型技师,椅旁即刻修复技师",15
咖啡师,咖啡师,4-03-02-08,高中毕业（或同等学力）,青岛市技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"咖啡店（店长、主管、领班）咖啡师,寻豆师,烘豆师,咖啡培训师",8
品酒师,品酒师,6-02-06-07,初中毕业（或相当文化程度）,贵州轻工职业大学,"四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"白酒品评员,白酒品评勾调师",4
商业摄影师,商业摄影师,4-08-09-01,初中毕业（或相当文化程度）,东唐影视,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"摄影指导,摄影师,摄像师",7
商务数据分析师,商务数据分析师,4-07-02-05,高中毕业（或同等学力）,竞争力咨询,"四级/中级工,三级/高级工,二级/技师,一级/高级技师",贸易数据申报师,"数据分析专员,数据分析师,数据员,BI分析师,数据处理工程师,商业分析师,商业智能数据分析师",6
城市管理网格员,城市管理网格员,3-01-04-02,初中毕业（或相当文化程度）,博银网格,"五级/初级工,四级/中级工,三级/高级工,二级/技师",,"社区工作者（专职网格员）,社区专职网格员,综合网格员,生态环境保护网格员,网格管理员,社区治理专员,基层治理专员,城市巡查协管员,智慧城市巡查员,综合执法辅助人员,平安建设信息员,民生事务联络员,数字化治理助理,(村)社区基层治理专干",6
城市轨道交通服务员,城市轨道交通服务员,4-02-01-07,高中毕业（或同等学力）,浙江交通技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","城市轨道交通站务员,城市轨道交通行车值班员","车站站务员,车站值班员,车站综控员,值班站长,站长/中心站长助理,票务管理工程师,行车安全工程师,客运服务工程师,车站协理员",5
